,rank,title,website,employees,sector,industry,hqlocation,hqaddr,hqcity,hqstate,hqzip,hqtel,ceo,ceo_title,address,ticker,fullname,revenues,revchange,profits,prftchange,assets,totshequity,uid
142,143,Union Pacific,http://www.up.com,42919,Transportation,Railroads,"Omaha, NE",1400 Douglas St.,Omaha,NE,68179,402-544-5000,Lance M. Fritz,"President, Chief Executive Officer, COO & Director","1400 Douglas St., Omaha, NE 68179",UNP,Union Pacific Corporation,19941,-8.6,4233.0,-11.3,55718,19932.0,3335a6185ab2e0e4d0eebb8f618e43e2
143,144,Danaher,http://www.danaher.com,62000,Technology,"Scientific, Photographic and Control Equipment","Washington, DC",2200 Pennsylvania Ave. N.W.,Washington,DC,20037,202-828-0850,Thomas P. Joyce Jr.,"President, Chief Executive Officer & Director","2200 Pennsylvania Ave. N.W., Washington, DC 20037",DHR,Danaher Corporation,19912,-4.8,2553.7,-23.9,45295,23003.0,2e2d7053c78b24327bf270b4d64f6ca4
144,145,Southern,http://www.southerncompany.com,32015,Energy,Utilities: Gas and Electric,"Atlanta, GA",30 Ivan Allen Jr. Blvd. N.W.,Atlanta,GA,30308,404-506-5000,Thomas A. Fanning,"Chairman, President & Chief Executive Officer","30 Ivan Allen Jr. Blvd. N.W., Atlanta, GA 30308",SO,The Southern Company,19896,13.8,2448.0,3.4,109697,24758.0,fa656336675f76f11fd04d8c7cdfb170
145,146,ManpowerGroup,http://www.manpowergroup.com,28000,Business Services,Temporary Help,"Milwaukee, WI",100 Manpower Place,Milwaukee,WI,53212,414-961-1000,Jonas Prising,Chairman & Chief Executive Officer,"100 Manpower Place, Milwaukee, WI 53212",MAN,ManpowerGroup Inc.,19654,1.7,443.7,5.8,7574,2362.0,2735e90a3788ab6ae70a12bf6620ca4d
146,147,Bristol-Myers Squibb,http://www.bms.com,25000,Health Care,Pharmaceuticals,"New York, NY",345 Park Ave.,New York,NY,10154,212-546-4000,Giovanni Caforio,Chief Executive Officer & Director,"345 Park Ave., New York, NY 10154",BMY,Bristol-Myers Squibb Company,19427,17.3,4457.0,184.8,33707,16177.0,0f039e742313e107239d9f518e9f2424
147,148,Altria Group,http://www.altria.com,8300,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",6601 W. Broad St.,Richmond,VA,23230,804-274-2200,Martin J. Barrington,"Chairman, President & Chief Executive Officer","6601 W. Broad St., Richmond, VA 23230",MO,"Altria Group, Inc.",19337,2.6,14239.0,171.7,45932,12770.0,4e569e461a37a2bbc0ebac5fbfc1a59e
148,149,Fluor,http://www.fluor.com,61551,Engineering & Construction,"Engineering, Construction","Irving, TX",6700 Las Colinas Blvd.,Irving,TX,75039,469-398-7000,David T. Seaton,Chairman & Chief Executive Officer,"6700 Las Colinas Blvd., Irving, TX 75039",FLR,Fluor Corporation,19037,5.1,281.4,-31.8,9216,3125.0,5867f2b30fd6f3b70f7377a4a97bac91
149,150,Kohl’s,http://www.kohls.com,85000,Retailing,General Merchandisers,"Menomonee Falls, WI",N56 W17000 Ridgewood Dr.,Menomonee Falls,WI,53051,262-703-7000,Kevin Mansell,"Chairman, President & Chief Executive Officer","N56 W17000 Ridgewood Dr., Menomonee Falls, WI 53051",KSS,Kohl's Corporation,18686,-2.7,556.0,-17.4,13574,5177.0,11a29b3cc4be9f6744684fa358c9920f
150,151,Lear,http://www.lear.com,148400,Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, MI",21557 Telegraph Rd.,Southfield,MI,48033,248-447-1500,Matthew J. Simoncini,"President, Chief Executive Officer & Director","21557 Telegraph Rd., Southfield, MI 48033",LEA,Lear Corporation,18558,1.9,975.1,30.8,9901,3057.0,87f97f486764ba817f678f4c0cc8d5f0
151,152,Jabil Circuit,http://www.jabil.com,138000,Technology,Semiconductors and Other Electronic Components,"St. Petersburg, FL",10560 Dr. Martin Luther King Jr. St. N.,St. Petersburg,FL,33716,727-577-9749,Mark T. Mondello,Chief Executive Officer & Director,"10560 Dr. Martin Luther King Jr. St. N., St. Petersburg, FL 33716",JBL,"Jabil Circuit, Inc.",18353,2.5,254.1,-10.5,10323,2438.0,7f835843a82402b40633a870be93e782
152,153,Hartford Financial Services Group,http://www.thehartford.com,16900,Financials,Insurance: Property and Casualty (Stock),"Hartford, CT",1 Hartford Plaza,Hartford,CT,6155,860-547-5000,Christopher J. Swift,Chairman & Chief Executive Officer,"1 Hartford Plaza, Hartford, CT 06155",HIG,"The Hartford Financial Services Group, Inc.",18300,-0.4,896.0,-46.7,223432,16903.0,ec0014d3854f9cdd59c265fdf2d81a11
153,154,Thermo Fisher Scientific,http://www.thermofisher.com,54800,Technology,"Scientific, Photographic and Control Equipment","Waltham, MA",168 Third Ave.,Waltham,MA,2451,781-622-1000,Marc N. Casper,"President, Chief Executive Officer & Director","168 Third Ave., Waltham, MA 02451",TMO,Thermo Fisher Scientific Inc.,18274,7.7,2021.8,2.3,45908,21539.0,e3e6d0ecad94754e3698fbe5aa9fe872
154,155,Kimberly-Clark,http://www.kimberly-clark.com,42000,Household Products,Household and Personal Products,"Irving, TX",351 Phelps Dr.,Irving,TX,75038,972-281-1200,Thomas J. Falk,Chairman & Chief Executive Officer,"351 Phelps Dr., Irving, TX 75038",KMB,Kimberly-Clark Corporation,18202,-2.1,2166.0,113.8,14602,-102.0,fdbe79f8c2c5be9ff00cefafca55ceda
155,156,Molina Healthcare,http://www.molinahealthcare.com,21000,Health Care,Health Care: Insurance and Managed Care,"Long Beach, CA",200 Oceangate,Long Beach,CA,90802,562-435-3666,Jospeh W. White,Interim President & Chief Executive Officer,"200 Oceangate, Long Beach, CA 90802",MOH,"Molina Healthcare, Inc.",17782,25.4,52.0,-63.6,7449,1649.0,8556234155076229bed9005b9c4ae895
156,157,PG&E Corp.,http://www.pgecorp.com,24000,Energy,Utilities: Gas and Electric,"San Francisco, CA",77 Beale St.,San Francisco,CA,94105,415-973-1000,Geisha J. Williams,"President, Chief Executive Officer & Director","77 Beale St., San Francisco, CA 94105",PCG,PG&E Corporation,17666,4.9,1393.0,59.4,68598,17940.0,f758a73952227d8656682da2117a4434
157,158,Supervalu,http://www.supervalu.com,38000,Food & Drug Stores,Food and Drug Stores,"Eden Prairie, MN",11840 Valley View Rd.,Eden Prairie,MN,55344,952-828-4000,Mark Gross,"President, Chief Executive Officer & Director","11840 Valley View Rd., Eden Prairie, MN 55344",SVU,Supervalu Inc.,17529,-1.6,178.0,-7.3,4370,-441.0,ebfa2b4659ed35debdafb449f29be848
158,159,Cummins,http://www.cummins.com,55400,Industrials,Industrial Machinery,"Columbus, IN",500 Jackson St.,Columbus,IN,47201,812-377-5000,N. Thomas Linebarger,Chairman & Chief Executive Officer,"500 Jackson St., Columbus, IN 47201",CMI,Cummins Inc.,17509,-8.4,1394.0,-0.4,15011,6875.0,e520ca0b09eb073547435d433fda5479
159,160,CenturyLink,http://www.centurylink.com,40000,Telecommunications,Telecommunications,"Monroe, LA",100 CenturyLink Dr.,Monroe,LA,71203,318-388-9000,Glen F. Post III,"President, Chief Executive Officer & Director","100 CenturyLink Dr., Monroe, LA 71203",CTL,"CenturyLink, Inc.",17470,-2.4,626.0,-28.7,47017,13399.0,5bd181efe15b1ce0f37cb76829e6fc6c
160,161,AECOM,http://www.aecom.com,87000,Engineering & Construction,"Engineering, Construction","Los Angeles, CA",1999 Ave. of the Stars,Los Angeles,CA,90067,213-593-8000,Michael S. Burke,Chairman & Chief Executive Officer,"1999 Ave. of the Stars, Los Angeles, CA 90067",ACM,AECOM,17411,-3.2,96.1,-28.7,13727,3367.0,ecf129f5e4ee5111c4e607f04ed1f54a
161,162,Xerox,http://www.xerox.com,133600,Technology,Computer Peripherals,"Norwalk, CT",45 Glover Ave.,Norwalk,CT,6850,203-968-3000,Jeffrey Jacobson,Chief Executive Officer & Director,"45 Glover Ave., Norwalk, CT 06850",XRX,Xerox Corporation,17126,-8.2,-477.0,-200.6,18145,4803.0,403349273cb2ef2fa08c206bd3f1f5f6
162,163,Marriott International,http://www.marriott.com,226500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, MD",10400 Fernwood Rd.,Bethesda,MD,20817,301-380-3000,Arne M. Sorenson,"President, Chief Executive Officer & Director","10400 Fernwood Rd., Bethesda, MD 20817",MAR,"Marriott International, Inc.",17072,17.9,780.0,-9.2,24140,5357.0,f2d4ccf0273b3560894aadb6b8950b03
163,164,Paccar,http://www.paccar.com,23000,Industrials,Construction and Farm Machinery,"Bellevue, WA",777 106th Ave. N.E.,Bellevue,WA,98004,425-468-7400,Ronald E. Armstrong,Chief Executive Officer & Director,"777 106th Ave. N.E., Bellevue, WA 98004",PCAR,PACCAR Inc,17033,-10.9,521.7,-67.5,20639,6778.0,e0875fcffd63705ebc819ba86656e879
164,165,General Mills,http://www.generalmills.com,39000,"Food, Beverages & Tobacco",Food Consumer Products,"Minneapolis, MN",1 General Mills Blvd.,Minneapolis,MN,55426,763-764-7600,Jeffrey L. Harmening,Chief Executive Officer & Director,"1 General Mills Blvd., Minneapolis, MN 55426",GIS,"General Mills, Inc.",16563,-6.1,1697.4,39.0,21712,4930.0,3f381392c136bb64f07387fa5acaaafd
165,166,PNC Financial Services Group,http://www.pnc.com,50683,Financials,Commercial Banks,"Pittsburgh, PA",300 Fifth Ave.,Pittsburgh,PA,15222,888-762-2265,William S. Demchak,"Chairman, President & Chief Executive Officer","300 Fifth Ave., Pittsburgh, PA 15222",PNC,"The PNC Financial Services Group, Inc.",16423,0.9,3903.0,-4.9,366380,45699.0,7ac1039e68714dec0b86b62d19e117b5
166,167,American Electric Power,http://www.aep.com,17634,Energy,Utilities: Gas and Electric,"Columbus, OH",1 Riverside Plaza,Columbus,OH,43215,614-716-1000,Nicholas K. Akins,"Chairman, President & Chief Executive Officer","1 Riverside Plaza, Columbus, OH 43215",AEP,"American Electric Power Company, Inc.",16380,-3.1,610.9,-70.2,63468,17397.0,7027e7338e796758c2e2018a7511c8dd
167,168,Icahn Enterprises,http://www.ielp.com,90980,Financials,Diversified Financials,"New York, NY",767 Fifth Ave.,New York,NY,10153,212-702-4300,Keith Cozza,"President, Chief Executive Officer & Director","767 Fifth Ave., New York, NY 10153",IEP,Icahn Enterprises L.P.,16348,7.0,-1128.0,-70.2,33335,2154.0,738153dac2e7c60a12a0615ad0f05b53
168,169,Nucor,http://www.nucor.com,23900,Materials,Metals,"Charlotte, NC",1915 Rexford Rd.,Charlotte,NC,28211,704-366-7000,John J. Ferriola,"Chairman, President & Chief Executive Officer","1915 Rexford Rd., Charlotte, NC 28211",NUE,Nucor Corporation,16208,-1.4,796.3,122.6,15224,7880.0,8dc78e7197d8ac1b8974dc5104292e9e
169,170,NextEra Energy,http://www.nexteraenergy.com,14700,Energy,Utilities: Gas and Electric,"Juno Beach, FL",700 Universe Blvd.,Juno Beach,FL,33408,561-694-4000,James L. Robo,"Chairman, President & Chief Executive Officer","700 Universe Blvd., Juno Beach, FL 33408",NEE,"NextEra Energy, Inc.",16155,-7.6,2912.0,5.8,89993,24341.0,708cdfce38eeb9ad9770f8a3369f8ac3
170,171,Performance Food Group,http://www.pfgc.com,13000,Wholesalers,Wholesalers: Food and Grocery,"Richmond, VA",12500 W. Creek Pkwy.,Richmond,VA,23238,804-484-7700,George L. Holm,"President, Chief Executive Officer & Director","12500 W. Creek Pkwy., Richmond, VA 23238",PFGC,Performance Food Group Company,16105,5.5,68.3,20.9,3455,803.0,5bee30f609a27c2add5776bfe75f170b
171,172,PBF Energy,http://www.pbfenergy.com,3165,Energy,Petroleum Refining,"Parsippany, NJ",1 Sylvan Way,Parsippany,NJ,7054,973-455-7500,Thomas J. Nimbley,Chairman & Chief Executive Officer,"1 Sylvan Way, Parsippany, NJ 07054",PBF,PBF Energy Inc.,15920,21.3,170.8,16.7,7622,2025.0,80961293fea7982bbe0ea3bd577a1254
172,173,Halliburton,http://www.halliburton.com,50000,Energy,"Oil and Gas Equipment, Services","Houston, TX",3000 N. Sam Houston Pkwy E.,Houston,TX,77032,281-871-2699,Jeffrey A. Miller,"President, Chief Executive Officer & Director","3000 N. Sam Houston Pkwy E., Houston, TX 77032",HAL,Halliburton Company,15887,-32.8,-5763.0,16.7,27000,9409.0,a8b7833ba999c6d24b47da21488a0276
173,174,CarMax,http://www.carmax.com,22429,Retailing,"Automotive Retailing, Services","Richmond, VA",12800 Tuckahoe Creek Pkwy.,Richmond,VA,23238,804-747-0422,William D. Nash,"President, Chief Executive Officer & Director","12800 Tuckahoe Creek Pkwy., Richmond, VA 23238",KMX,"CarMax, Inc.",15833,6.4,623.4,4.4,14482,2905.0,eab0a015c3f6c4fcfbcec60db391fc93
174,175,Freeport-McMoRan,http://www.fcx.com,30000,Energy,"Mining, Crude-Oil Production","Phoenix, AZ",333 N. Central Ave.,Phoenix,AZ,85004,602-366-8100,Richard C. Adkerson,"President, Chief Executive Officer & Director","333 N. Central Ave., Phoenix, AZ 85004",FCX,Freeport-McMoRan Inc.,15789,-0.6,-4154.0,4.4,37317,6051.0,40aec5b16439aeab3a3b456be2f68a9e
175,176,Whole Foods Market,http://www.wholefoodsmarket.com,73515,Food & Drug Stores,Food and Drug Stores,"Austin, TX",550 Bowie St.,Austin,TX,78703,512-477-4455,John P. Mackey,Chief Executive Officer & Director,"550 Bowie St., Austin, TX 78703",WFM,"Whole Foods Market, Inc.",15724,2.2,507.0,-5.4,6341,3224.0,7ea2fbea6c2adea45b32dcdd3fc86b90
176,177,Bank of New York Mellon,http://www.bnymellon.com,52000,Financials,Commercial Banks,"New York, NY",225 Liberty St.,New York,NY,10286,212-495-1784,Gerald L. Hassell,Chairman & Chief Executive Officer,"225 Liberty St., New York, NY 10286",BK,The Bank of New York Mellon Corporation,15683,1.0,3547.0,12.3,333469,38811.0,ba4a69078995b5876072f0e3095ad7e9
177,178,Gap,http://www.gapinc.com,135000,Retailing,Specialty Retailers: Apparel,"San Francisco, CA",2 Folsom St.,San Francisco,CA,94105,415-427-0100,Arthur L. Peck,"President, Chief Executive Officer & Director","2 Folsom St., San Francisco, CA 94105",GPS,"The Gap, Inc.",15516,-1.8,676.0,-26.5,7610,2904.0,c31ec52129c64386a5186af71293dbcc
178,179,Omnicom Group,http://www.omnicomgroup.com,78500,Business Services,"Advertising, Marketing","New York, NY",437 Madison Ave.,New York,NY,10022,212-415-3600,John D. Wren,"President, Chief Executive Officer & Director","437 Madison Ave., New York, NY 10022",OMC,Omnicom Group Inc.,15417,1.9,1148.6,5.0,23165,2162.0,0ea094282ab018dfb06b4fa67d003eb0
179,180,Genuine Parts,http://www.genpt.com,40000,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",2999 Wildwood Pkwy.,Atlanta,GA,30339,678-934-5000,Paul D. Donahue,"President, Chief Executive Officer & Director","2999 Wildwood Pkwy., Atlanta, GA 30339",GPC,Genuine Parts Company,15340,0.4,687.2,-2.6,8859,3194.0,cf5dd01a57df8e071b5cd271f4ef9e18
180,181,DaVita,http://www.davita.com,70300,Health Care,Health Care: Medical Facilities,"Denver, CO",2000 16th St.,Denver,CO,80202,303-405-2100,Kent J. Thiry,Co-Chairman & Chief Executive Officer,"2000 16th St., Denver, CO 80202",DVA,DaVita Inc.,15197,6.9,879.9,226.2,18741,4648.0,282f0bf11a49a1147eceae4c9cdb7e38
181,182,Colgate-Palmolive,http://www.colgatepalmolive.com,36700,Household Products,Household and Personal Products,"New York, NY",300 Park Ave.,New York,NY,10022,212-310-2000,Ian M. Cook,"Chairman, President & Chief Executive Officer","300 Park Ave., New York, NY 10022",CL,Colgate-Palmolive Company,15195,-5.2,2441.0,76.4,12123,-243.0,9256fec9e4c1015c77f138982d0fcd96
182,183,PPG Industries,http://www.ppg.com,47000,Chemicals,Chemicals,"Pittsburgh, PA",1 PPG Place,Pittsburgh,PA,15272,412-434-3131,Michael H. McGarry,Chairman & Chief Executive Officer,"1 PPG Place, Pittsburgh, PA 15272",PPG,"PPG Industries, Inc.",15178,-1.0,877.0,-37.6,15769,4826.0,46b0bd47721006a4f320bd7dd74e28b8
183,184,Goodyear Tire & Rubber,http://www.goodyear.com,66000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Akron, OH",200 Innovation Way,Akron,OH,44316,330-796-2121,Richard J. Kramer,"Chairman, President & Chief Executive Officer","200 Innovation Way, Akron, OH 44316",GT,The Goodyear Tire & Rubber Company,15158,-7.8,1264.0,311.7,16511,4507.0,16e847246004746881a05cf44dd2d2f4
184,185,Synchrony Financial,http://www.synchronyfinancial.com,15000,Financials,Diversified Financials,"Stamford, CT",777 Long Ridge Rd.,Stamford,CT,6902,203-585-2400,Margaret M. Keane,"President, Chief Executive Officer & Director","777 Long Ridge Rd., Stamford, CT 06902",SYF,Synchrony Financial,15122,11.0,2251.0,1.7,90207,14196.0,897af1784ab05022028e7953d49f4edd
185,186,DISH Network,http://www.dish.com,16000,Telecommunications,Telecommunications,"Englewood, CO",9601 S. Meridian Blvd.,Englewood,CO,80112,303-723-1000,Charles W. Ergen,Chairman & Chief Executive Officer,"9601 S. Meridian Blvd., Englewood, CO 80112",DISH,DISH Network Corporation,15095,0.2,1449.9,94.1,28092,4637.0,5779fb6950fed78b9a0c9cbca26142bd
186,187,Visa,http://www.visa.com,14200,Business Services,Financial Data Services,"Foster City, CA",900 Metro Center Blvd.,Foster City,CA,94404,650-432-3200,Alfred F. Kelly Jr.,Chief Executive Officer & Director,"900 Metro Center Blvd., Foster City, CA 94404",V,Visa Inc.,15082,8.7,5991.0,-5.3,64035,32912.0,7676b0562a9081cdc00c93e541b0fa61
187,188,Nordstrom,http://www.nordstrom.com,72500,Retailing,General Merchandisers,"Seattle, WA",1617 Sixth Ave.,Seattle,WA,98101,206-628-2111,Blake W. Nordstrom,"Principal Executive Officer, Co-President and Director","1617 Sixth Ave., Seattle, WA 98101",JWN,"Nordstrom, Inc.",14757,2.2,354.0,-41.0,7858,870.0,da5957a73b2cfb3e08f0279de3d24e1d
188,189,INTL FCStone,http://www.intlfcstone.com,1464,Financials,Diversified Financials,"New York, NY",708 Third Ave.,New York,NY,10017,212-485-3500,Sean M. O'Connor,"President, Chief Executive Officer & Director","708 Third Ave., New York, NY 10017",INTL,INTL FCStone Inc.,14755,-57.5,54.7,-1.8,5951,434.0,f965ae51af2d572a8fa27fac2a2ee1aa
189,190,WestRock,http://www.westrock.com,39000,Materials,"Packaging, Containers","Richmond, VA",501 S. Fifth St.,Richmond,VA,23219,804-444-1000,Steven C. Voorhees,Chief Executive Officer & Director,"501 S. Fifth St., Richmond, VA 23219",WRK,WestRock Company,14706,29.2,-396.3,-178.2,23038,9729.0,c4dcf92b32a938864a8615ec83e2b670
190,191,XPO Logistics,http://www.xpo.com,87000,Transportation,Transportation and Logistics,"Greenwich, CT",5 American Lane,Greenwich,CT,6831,855-976-6951,Bradley S. Jacobs,Chairman & Chief Executive Officer,"5 American Lane, Greenwich, CT 06831",XPO,"XPO Logistics, Inc.",14619,91.8,69.0,-178.2,11698,2700.0,fa89f774d2230652ba0073920e5050e8
191,192,Aramark,http://www.aramark.com,217250,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",1101 Market St.,Philadelphia,PA,19107,215-238-3000,Eric J. Foss,"Chairman, President & Chief Executive Officer","1101 Market St., Philadelphia, PA 19107",ARMK,Aramark,14416,0.6,287.8,22.0,10582,2161.0,801eb51acda2335df6115bbc1230752b
192,193,CBS,http://www.cbscorporation.com,18410,Media,Entertainment,"New York, NY",51 W. 52nd St.,New York,NY,10019,212-975-4321,Leslie Moonves,Chairman & Chief Executive Officer,"51 W. 52nd St., New York, NY 10019",CBS,CBS Corporation,14386,3.6,1261.0,-10.8,24238,3689.0,fe871329c2eb1a59a2168cd55b33a3ec
193,194,AES,http://www.aes.com,19000,Energy,Utilities: Gas and Electric,"Arlington, VA",4300 Wilson Blvd.,Arlington,VA,22203,703-522-1315,Andres R. Gluski,"President, Chief Executive Officer & Director","4300 Wilson Blvd., Arlington, VA 22203",AES,The AES Corporation,14287,-4.5,-1130.0,-469.3,36119,2794.0,153f2c88bba9183ec28f05a13d2cd666
194,195,WellCare Health Plans,http://www.wellcare.com,7400,Health Care,Health Care: Insurance and Managed Care,"Tampa, FL",8725 Henderson Rd.,Tampa,FL,33634,813-290-6200,Kenneth A. Burdick,Chief Executive Officer & Director,"8725 Henderson Rd., Tampa, FL 33634",WCG,"WellCare Health Plans, Inc.",14237,2.5,242.1,104.1,6153,2000.0,70a9eec63feb9a4ca5e06e155cd44d89
195,196,FirstEnergy,http://www.firstenergycorp.com,15707,Energy,Utilities: Gas and Electric,"Akron, OH",76 S. Main St.,Akron,OH,44308,800-736-3402,Charles E. Jones,"President, Chief Executive Officer & Director","76 S. Main St., Akron, OH 44308",FE,FirstEnergy Corp.,14156,-3.1,-6177.0,-1168.7,43148,6241.0,bb9b57d8f5f6ede9945ebf92ccd0939c
196,197,Conagra Brands,http://www.conagrabrands.com,20900,"Food, Beverages & Tobacco",Food Consumer Products,"Chicago, IL",222 W. Merchandise Mart Plaza,Chicago,IL,60654,312-549-5000,Sean M. Connolly,"President, Chief Executive Officer & Director","222 W. Merchandise Mart Plaza, Chicago, IL 60654",CAG,"Conagra Brands, Inc.",14134,-10.8,-677.0,-1168.7,13391,3714.0,5373ffe18582e5f5450b3e8806b0e5eb
197,198,Synnex,http://www.synnex.com,110000,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, CA",44201 Nobel Dr.,Fremont,CA,94538,510-656-3333,Kevin M. Murai,"President, Chief Executive Officer & Director","44201 Nobel Dr., Fremont, CA 94538",SNX,Synnex Corporation,14062,5.4,234.9,12.7,5223,1976.0,d336caaa398b1b240630ed10ab7038f7
198,199,CDW,http://www.cdw.com,8516,Technology,Information Technology Services,"Lincolnshire, IL",75 Tri-State International,Lincolnshire,IL,60069,847-465-6000,Thomas E. Richards,"Chairman, President & Chief Executive Officer","75 Tri-State International, Lincolnshire, IL 60069",CDW,CDW Corporation,13982,7.6,424.4,5.3,6948,1046.0,23348de9e3e516ea5eed3b2bb7820111
199,200,Textron,http://www.textron.com,36000,Aerospace & Defense,Aerospace and Defense,"Providence, RI",40 Westminster St.,Providence,RI,2903,401-421-2800,Scott C. Donnelly,"Chairman, President & Chief Executive Officer","40 Westminster St., Providence, RI 02903",TXT,Textron Inc.,13788,2.7,962.0,38.0,15358,5574.0,3618d992b1e751e8c443e55b34ef6f49
200,201,Waste Management,http://www.wm.com,41200,Business Services,Waste Management,"Houston, TX",1001 Fannin St.,Houston,TX,77002,713-512-6200,James C. Fish Jr.,"President, Chief Executive Officer & Director","1001 Fannin St., Houston, TX 77002",WM,"Waste Management, Inc.",13609,5.0,1182.0,57.0,20859,5297.0,f106a2a431e27ac8c57ddcfd17b9626c
201,202,Illinois Tool Works,http://www.itw.com,50000,Industrials,Industrial Machinery,"Glenview, IL",155 Harlem Ave.,Glenview,IL,60025,847-724-7500,E. Scott Santi,"Chairman, President & Chief Executive Officer","155 Harlem Ave., Glenview, IL 60025",ITW,Illinois Tool Works Inc.,13599,1.4,2035.0,7.2,15201,4254.0,1bf1a5c710836651d0b1def1a4379f5c
202,203,Office Depot,http://www.officedepot.com,38000,Retailing,Specialty Retailers: Other,"Boca Raton, FL",6600 N. Military Trail,Boca Raton,FL,33496,561-438-4800,Gerry P. Smith,Chief Executive Officer & Director,"6600 N. Military Trail, Boca Raton, FL 33496",ODP,"Office Depot, Inc.",13585,-6.2,529.0,6512.5,5540,1852.0,65564e01167c5f675a1d2c5401c6685a
203,204,Monsanto,http://www.monsanto.com,22450,Chemicals,Chemicals,"St. Louis, MO",800 N. Lindbergh Blvd.,St. Louis,MO,63167,314-694-1000,Hugh Grant,Chairman & Chief Executive Officer,"800 N. Lindbergh Blvd., St. Louis, MO 63167",MON,Monsanto Company,13502,-10.0,1336.0,-42.3,19736,4534.0,86623ad9af406553ac5b58569f1694cc
204,205,Cognizant Technology Solutions,http://www.cognizant.com,260200,Technology,Information Technology Services,"Teaneck, NJ",500 Frank W. Burr Blvd.,Teaneck,NJ,7666,201-801-0233,Francisco D'Souza,Chief Executive Officer & Director,"500 Frank W. Burr Blvd., Teaneck, NJ 07666",CTSH,Cognizant Technology Solutions Corporation,13487,8.6,1553.0,-4.3,14262,10728.0,d729fbe5830d7efabd7284356b1c282a
205,206,Texas Instruments,http://www.ti.com,29865,Technology,Semiconductors and Other Electronic Components,"Dallas, TX",12500 TI Blvd.,Dallas,TX,75243,214-479-3773,Richard K. Templeton,"Chairman, President & Chief Executive Officer","12500 TI Blvd., Dallas, TX 75243",TXN,Texas Instruments Incorporated,13370,2.8,3595.0,20.4,16431,10473.0,cd2a583828eab57db7e73f5632ea0a00
206,207,Lincoln National,http://www.lfg.com,9057,Financials,"Insurance: Life, Health (Stock)","Radnor, PA",150 N. Radnor-Chester Rd.,Radnor,PA,19087,484-583-1400,Dennis R. Glass,"President, Chief Executive Officer & Director","150 N. Radnor-Chester Rd., Radnor, PA 19087",LNC,Lincoln National Corporation,13330,-1.8,1192.0,3.3,261627,14478.0,2418d85d386ed51cff47e17f05bf9659
207,208,Newell Brands,http://www.newellbrands.com,53400,Household Products,"Home Equipment, Furnishings","Hoboken, NJ",221 River St.,Hoboken,NJ,7030,770-418-7000,Michael B. Polk,Chief Executive Officer & Director,"221 River St., Hoboken, NJ 07030",NWL,Newell Brands Inc.,13264,122.1,527.8,50.8,33838,11349.0,db8980474a032631b9fe7cca6e97bf45
208,209,Land O’Lakes,http://www.landolakesinc.com,10000,"Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, MN",4001 Lexington Ave. N.,Arden Hills,MN,55126,651-375-2222,Christopher J. Policinski,"President, Chief Executive Officer & Director","4001 Lexington Ave. N., Arden Hills, MN 55126",NWL,"Land O'Lakes, Inc.",13233,0.6,244.9,-20.4,8305,1904.0,6b4f70c4e11956a2cceaf1fb5d6c1225
209,210,Marsh & McLennan,http://www.mmc.com,60000,Financials,Diversified Financials,"New York, NY",1166 Ave. of the Americas,New York,NY,10036,212-345-5000,Daniel S. Glaser,"President, Chief Executive Officer & Director","1166 Ave. of the Americas, New York, NY 10036",MMC,"Marsh & McLennan Companies, Inc.",13211,2.5,1768.0,10.6,18190,6192.0,d8b54f2c550cee8f56d0d9871b410576
210,211,Ecolab,http://www.ecolab.com,47565,Chemicals,Chemicals,"St. Paul, MN",1 Ecolab Place,St. Paul,MN,55102,800-232-6522,Douglas M. Baker Jr.,Chairman & Chief Executive Officer,"1 Ecolab Place, St. Paul, MN 55102",ECL,Ecolab Inc.,13153,-2.9,1229.6,22.7,18330,6901.0,2f630e2bb7592d8ea3ffaa31113c9d94
211,212,C.H. Robinson Worldwide,http://www.chrobinson.com,14125,Transportation,Transportation and Logistics,"Eden Prairie, MN",14701 Charlson Rd.,Eden Prairie,MN,55347,952-937-8500,John P. Wiehoff,"Chairman, President & Chief Executive Officer","14701 Charlson Rd., Eden Prairie, MN 55347",CHRW,"C. H. Robinson Worldwide, Inc.",13144,-2.5,513.4,0.7,3688,1258.0,90964922ba5cacd2c97f17c69529fddc
212,213,Loews,http://www.loews.com,15800,Financials,Insurance: Property and Casualty (Stock),"New York, NY",667 Madison Ave.,New York,NY,10065,212-521-2000,James S. Tisch,"President, Chief Executive Officer & Director","667 Madison Ave., New York, NY 10065",L,Loews Corporation,13105,-2.3,654.0,151.5,76594,18163.0,df319732f462907a23c429cd0b517863
213,214,CBRE Group,http://www.cbre.com,75000,Financials,Real Estate,"Los Angeles, CA",400 S. Hope St.,Los Angeles,CA,90071,213-613-3333,Robert E. Sulentic,"President, Chief Executive Officer & Director","400 S. Hope St., Los Angeles, CA 90071",CBG,"CBRE Group, Inc.",13072,20.4,572.0,4.5,10780,3015.0,1566bef4994f77009987b4319b2ee09b
